{ a | a }  
{ zabawa | zabawa }
{ zabawka | zabawka }
{ zabic | zabić }
{ zabrac | zabrać }
{ zaburzenie | zaburzenie }
{ zachod | zachód }
{ zachodni | zachodni }
{ zachowac | zachować }
{ zachowanie | zachowanie }
{ zachowywac | zachowywać }
{ zaczac | zacząć }
{ zaczynac | zaczynać }
{ zadanie | zadanie }
{ zaden | żaden }
{ zainteresowanie | zainteresowanie }
{ zajac | zająć }
{ zajecie | zajęcie }
{ zajmowac | zajmować }
{ zaklad | zakład }
{ zakladac | zakładać }
{ zakon | zakon }
{ zakonczenie | zakończenie }
{ zakonczyc | zakończyć }
{ zakres | zakres }
{ zal | żal }
{ zaledwie | zaledwie }
{ zalozyc | założyć }
{ zamek | zamek }
{ zamiar | zamiar }
{ zamiast | zamiast }
{ zamieszkiwac | zamieszkiwać }
{ zamknac | zamknąć }
{ zamykac | zamykać }
{ zanim | zanim }
{ zapach | zapach }
{ zapalenie | zapalenie }
{ zapewne | zapewne }
{ zapis | zapis }
{ zapomniec | zapomnieć }
{ zapytac | zapytać }
{ zaraz | zaraz }
{ zarazem | zarazem }
{ zarowno | zarówno }
{ zart | żart }
{ zas | zas }
{ zasada | zasada }
{ zatem | zatem }
{ zatoka | zatoka }
{ zatrzymac | zatrzymać }
{ zaufanie | zaufanie }
{ zauwazyc | zauważyć }
{ zawartosc | zawartość }
{ zawierac | zawierać }
{ zawod | zawód }
{ zawodnik | zawodnik }
{ zawodowy | zawodowy }
{ zawsze | zawsze }
{ zazwyczaj | zazwyczaj }
{ zbierac | zbierać }
{ zbior | zbiór }
{ zbiornik | zbiornik }
{ zboze | zboże }
{ zbudowac | zbudować }
{ zbyt | zbyt }
{ zdanie | zdanie }
{ zdarzenie | zdarzenie }
{ zdecydowanie | zdecydowanie }
{ zdjecie | zdjęcie }
{ zdobyc | zdobyć }
{ zdolnosc | zdolność }
{ zdolny | zdolny }
{ zdrowie | zdrowie }
{ zdrowy | zdrowy }
{ ze | że }
{ zeby | żeby }
{ zegar | zegar }
{ zegarek | zegarek }
{ zelazo | żelazo }
{ zenski | żeński }
{ zero | zero }
{ zespol | zespół }
{ zeszly | zeszły }
{ zewnatrz | zewnątrz }
{ zewnetrzny | zewnętrzny }
{ zgadzac | zgadzać }
{ zgoda | zgoda }
{ zgodnie | zgodnie }
{ zgodny | zgodny }
{ zgromadzenie | zgromadzenie }
{ ziarno | ziarno }
{ zielony | zielony }
{ ziemia | ziemia }
{ ziemniak | ziemniak }
{ ziemski | ziemski }
{ zima | zima }
{ zimno | zimno }
{ zimny | zimny }
{ zjawisko | zjawisko }
{ zjednoczone | Zjednoczone }
{ zjesc | zjeść }
{ zlapac | złapać }
{ zlapal | złapał }
{ zle | źle }
{ zlodziej | złodziej }
{ zloto | złoto }
{ zloty | złoty }
{ zlozony | złożony }
{ zlozyc | złożyć }
{ zly | zły }
{ zmarly | zmarły }
{ zmeczony | zmęczony }
{ zmiana | zmiana }
{ zmieniac | zmieniać }
{ zmienic | zmienić }
{ znac | znać }
{ znaczenie | znaczenie }
{ znacznie | znacznie }
{ znaczny | znaczny }
{ znaczyc | znaczyć }
{ znad | znad }
{ znajdowac | znajdować }
{ znak | znak }
{ znalezc | znaleźć }
{ znany | znany }
{ zniszczyc | zniszczyć }
{ znosic | znosić }
{ znow | znów }
{ znowu | znowu }
{ zobaczyc | zobaczyć }
{ zoladek | żołądek }
{ zolnierz | żołnierz }
{ zolty | żółty }
{ zona | żona }
{ zostac | zostać }
{ zostawic | zostawić }
{ zreszta | zresztą }
{ zrobic | zrobić }
{ zrobiony | zrobiony }
{ zrodlo | źródło }
{ zrozumiec | zrozumieć }
{ zupa | zupa }
{ zupelnie | zupełnie }
{ zwiazac | związać }
{ zwiazany | związany }
{ zwiazek | związek }
{ zwierze | zwierzę }
{ zwlaszcza | zwłaszcza }
{ zwloki | zwłoki }
{ zwolennik | zwolennik }
{ zwrocic | zwrócić }
{ zwrot | zwrot }
{ zwyciestwo | zwycięstwo }
{ zwyczaj | zwyczaj }
{ zwykle | zwykle }
{ zwykly | zwykły }
{ zyc | żyć }
{ zycie | życie }
{ zyd | Żyd }
{ zydowski | żydowski }
{ zysk | zysk }
{ zywnosc | żywność }
{ zywy | żywy }
{ zza | zza }
